dt_start,lat,lon,MAG,WFO,TYPETEXT,field_1,inScanTime,valid_sites,radar_path
2023-04-19 23:14:00,35.27,-97.5,1.5,OUN,HAIL,933067,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_231343_V06']
2023-04-19 23:14:00,35.58,-97.73,2.5,OUN,HAIL,933069,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_231343_V06']
2023-04-19 23:15:00,35.57,-97.66,1.25,OUN,HAIL,933072,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_231343_V06']
2023-04-19 23:15:00,35.58,-97.58,1.75,OUN,HAIL,933070,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_231343_V06']
2023-04-19 23:16:00,35.83,-97.36,1.25,OUN,HAIL,933074,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_231343_V06']
2023-04-19 23:22:00,35.69,-97.64,1.25,OUN,HAIL,933078,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_231851_V06']
2023-04-19 23:33:00,35.1,-97.88,3.0,OUN,HAIL,933091,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_233022_V06']
2023-04-19 23:55:00,35.86,-97.93,1.0,OUN,HAIL,933105,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_235053_V06']
2023-04-20 00:12:00,35.45,-97.37,2.0,OUN,HAIL,933119,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_001002_V06']
2023-04-20 00:18:00,35.05,-97.82,2.75,OUN,HAIL,933122,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_001609_V06']
2023-04-20 00:23:00,35.13,-97.67,2.5,OUN,HAIL,933128,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002236_V06']
2023-04-20 00:25:00,35.48,-97.24,1.5,OUN,HAIL,933129,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002236_V06']
2023-04-20 01:04:00,35.39,-97.6,1.0,OUN,HAIL,933151,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_010216_V06']
2023-04-20 01:10:00,35.14,-97.39,2.0,OUN,HAIL,933157,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_010844_V06']
2023-04-20 01:11:00,35.14,-97.36,2.0,OUN,HAIL,933161,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_010844_V06']
2023-04-20 01:20:00,35.18,-97.41,1.25,OUN,HAIL,933167,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_011535_V06']
2023-04-20 01:45:00,35.32,-97.45,2.0,OUN,HAIL,933183,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:54:00,35.32,-97.41,2.25,OUN,HAIL,933186,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014922_V06']
2023-04-20 02:00:00,35.32,-97.43,2.0,OUN,HAIL,933191,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_015559_V06']
2023-04-20 02:39:00,35.32,-97.22,1.0,OUN,HAIL,933207,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_023652_V06']
