stormdate,Unnamed: 0,event_id,efscale,windspeed,injuries,deaths,lat,lon,office,dt_valid,inScanTime,valid_sites,radar_path
2023-04-20 00:30:00,129931,Cole-Goldsby,1.0,97,0.0,0.0,35.1322,-97.5257,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129934,Cole-Goldsby,2.0,135,0.0,0.0,35.117,-97.5382,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 00:30:00,129935,Cole-Goldsby,2.0,127,0.0,0.0,35.1189,-97.5401,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 01:46:00,129939,,-1.0,65,0.0,0.0,35.1557,-97.1773,OUN,2023-04-20 01:46:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:47:00,129940,NE of Etowah,1.0,93,0.0,0.0,35.1599,-97.1659,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:47:00,129942,NE of Etowah,1.0,100,0.0,0.0,35.1597,-97.1652,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:47:00,129943,NE of Etowah,1.0,93,0.0,0.0,35.1598,-97.1613,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:47:00,129944,NE of Etowah,1.0,94,0.0,0.0,35.1686,-97.1596,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:47:00,129945,NE of Etowah,1.0,107,0.0,0.0,35.1728,-97.1597,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:47:00,129946,NE of Etowah,2.0,130,0.0,0.0,35.1751,-97.1636,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:47:00,129947,NE of Etowah,2.0,118,0.0,0.0,35.1742,-97.1639,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:36:00,129948,Etowah,1.0,110,0.0,0.0,35.1343,-97.2365,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129949,Etowah,0.0,70,0.0,0.0,35.1294,-97.2337,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:47:00,129950,NE of Etowah,2.0,118,0.0,0.0,35.1739,-97.1773,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:36:00,129951,Etowah,0.0,85,0.0,0.0,35.1292,-97.2331,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129952,Etowah,0.0,74,0.0,0.0,35.131,-97.2215,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129953,Etowah,1.0,90,0.0,0.0,35.1388,-97.2126,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129954,Etowah,1.0,90,0.0,0.0,35.1404,-97.2129,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129955,Etowah,0.0,79,0.0,0.0,35.147,-97.1773,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129956,Etowah,1.0,87,0.0,0.0,35.1502,-97.1773,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:46:00,129957,,-1.0,75,0.0,0.0,35.1543,-97.1773,OUN,2023-04-20 01:46:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:47:00,129958,NE of Etowah,2.0,118,0.0,0.0,35.1621,-97.1773,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:36:00,129959,Etowah,0.0,74,0.0,0.0,35.13,-97.2336,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129960,Etowah,0.0,76,0.0,0.0,35.1294,-97.2337,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:47:00,129961,NE of Etowah,1.0,110,0.0,0.0,35.16,-97.1773,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:47:00,129962,NE of Etowah,1.0,97,0.0,0.0,35.1598,-97.1705,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:36:00,129963,Etowah,1.0,93,0.0,0.0,35.1292,-97.2331,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:47:00,129964,NE of Etowah,1.0,88,0.0,0.0,35.1742,-97.1608,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
2023-04-20 01:36:00,129965,Etowah,1.0,107,0.0,0.0,35.131,-97.2301,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129966,Etowah,2.0,118,0.0,0.0,35.131,-97.2284,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:36:00,129967,Etowah,1.0,107,0.0,0.0,35.131,-97.2216,OUN,2023-04-20 01:36:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_013540_V06']
2023-04-20 01:47:00,129968,NE of Etowah,2.0,130,0.0,0.0,35.1751,-97.1638,OUN,2023-04-20 01:47:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_014231_V06']
